Ba.ANO-RCC-VDZ                           Ba.ANO-RCC...7s6p2d.
Ba.ANO-RCC-VDZP                          Ba.ANO-RCC...7s6p3d1f.
Ba.ANO-RCC-VTZP                          Ba.ANO-RCC...8s7p4d2f1g.
Ba.ANO-RCC-VQZP                          Ba.ANO-RCC...9s8p5d3f2g.
La.ANO-RCC-MB                            La.ANO-RCC...6s5p3d1f.
La.ANO-RCC-VDZ                           La.ANO-RCC...7s6p4d2f.
La.ANO-RCC-VDZP                          La.ANO-RCC...7s6p4d2f1g.
La.ANO-RCC-VTZP                          La.ANO-RCC...8s7p5d3f2g1h.
La.ANO-RCC-VQZP                          La.ANO-RCC...9s8p6d4f3g2h.
Ce.ANO-RCC-MB                            Ce.ANO-RCC...6s5p3d1f.
Ce.ANO-RCC-VDZ                           Ce.ANO-RCC...7s6p4d2f.
Ce.ANO-RCC-VDZP                          Ce.ANO-RCC...7s6p4d2f1g.
Ce.ANO-RCC-VTZP                          Ce.ANO-RCC...8s7p5d3f2g1h.
Ce.ANO-RCC-VQZP                          Ce.ANO-RCC...9s8p6d4f3g2h.
Pr.ANO-RCC-MB                            Pr.ANO-RCC...6s5p3d1f.
Pr.ANO-RCC-VDZ                           Pr.ANO-RCC...7s6p4d2f.
Pr.ANO-RCC-VDZP                          Pr.ANO-RCC...7s6p4d2f1g.
Pr.ANO-RCC-VTZP                          Pr.ANO-RCC...8s7p5d3f2g1h.
Pr.ANO-RCC-VQZP                          Pr.ANO-RCC...9s8p6d4f3g2h.
Nd.ANO-RCC-MB                            Nd.ANO-RCC...6s5p3d1f.
Nd.ANO-RCC-VDZ                           Nd.ANO-RCC...7s6p4d2f.
Nd.ANO-RCC-VDZP                          Nd.ANO-RCC...7s6p4d2f1g.
Nd.ANO-RCC-VTZP                          Nd.ANO-RCC...8s7p5d3f2g1h.
Nd.ANO-RCC-VQZP                          Nd.ANO-RCC...9s8p6d4f3g2h.
Pm.ANO-RCC-MB                            Pm.ANO-RCC...6s5p3d1f.
Pm.ANO-RCC-VDZ                           Pm.ANO-RCC...7s6p4d2f.
Pm.ANO-RCC-VDZP                          Pm.ANO-RCC...7s6p4d2f1g.
Pm.ANO-RCC-VTZP                          Pm.ANO-RCC...8s7p5d3f2g1h.
Pm.ANO-RCC-VQZP                          Pm.ANO-RCC...9s8p6d4f3g2h.
Sm.ANO-RCC-MB                            Sm.ANO-RCC...6s5p3d1f.
Sm.ANO-RCC-VDZ                           Sm.ANO-RCC...7s6p4d2f.
Sm.ANO-RCC-VDZP                          Sm.ANO-RCC...7s6p4d2f1g.
Sm.ANO-RCC-VTZP                          Sm.ANO-RCC...8s7p5d3f2g1h.
Sm.ANO-RCC-VQZP                          Sm.ANO-RCC...9s8p6d4f3g2h.
Eu.ANO-RCC-MB                            Eu.ANO-RCC...6s5p3d1f.
Eu.ANO-RCC-VDZ                           Eu.ANO-RCC...7s6p4d2f.
Eu.ANO-RCC-VDZP                          Eu.ANO-RCC...7s6p4d2f1g.
Eu.ANO-RCC-VTZP                          Eu.ANO-RCC...8s7p5d3f2g1h.
Eu.ANO-RCC-VQZP                          Eu.ANO-RCC...9s8p6d4f3g2h.
Gd.ANO-RCC-MB                            Gd.ANO-RCC...6s5p3d1f.
Gd.ANO-RCC-VDZ                           Gd.ANO-RCC...7s6p4d2f.
Gd.ANO-RCC-VDZP                          Gd.ANO-RCC...7s6p4d2f1g.
Gd.ANO-RCC-VTZP                          Gd.ANO-RCC...8s7p5d3f2g1h.
Gd.ANO-RCC-VQZP                          Gd.ANO-RCC...9s8p6d4f3g2h.
Tb.ANO-RCC-MB                            Tb.ANO-RCC...6s5p3d1f.
Tb.ANO-RCC-VDZ                           Tb.ANO-RCC...7s6p4d2f.
Tb.ANO-RCC-VDZP                          Tb.ANO-RCC...7s6p4d2f1g.
Tb.ANO-RCC-VTZP                          Tb.ANO-RCC...8s7p5d3f2g1h.
Tb.ANO-RCC-VQZP                          Tb.ANO-RCC...9s8p6d4f3g2h.
Dy.ANO-RCC-MB                            Dy.ANO-RCC...6s5p3d1f.
Dy.ANO-RCC-VDZ                           Dy.ANO-RCC...7s6p4d2f.
Dy.ANO-RCC-VDZP                          Dy.ANO-RCC...7s6p4d2f1g.
Dy.ANO-RCC-VTZP                          Dy.ANO-RCC...8s7p5d3f2g1h.
Dy.ANO-RCC-VQZP                          Dy.ANO-RCC...9s8p6d4f3g2h.
Ho.ANO-RCC-MB                            Ho.ANO-RCC...6s5p3d1f.
Ho.ANO-RCC-VDZ                           Ho.ANO-RCC...7s6p4d2f.
Ho.ANO-RCC-VDZP                          Ho.ANO-RCC...7s6p4d2f1g.
Ho.ANO-RCC-VTZP                          Ho.ANO-RCC...8s7p5d3f2g1h.
Ho.ANO-RCC-VQZP                          Ho.ANO-RCC...9s8p6d4f3g2h.
Er.ANO-RCC-MB                            Er.ANO-RCC...6s5p3d1f.
Er.ANO-RCC-VDZ                           Er.ANO-RCC...7s6p4d2f.
Er.ANO-RCC-VDZP                          Er.ANO-RCC...7s6p4d2f1g.
Er.ANO-RCC-VTZP                          Er.ANO-RCC...8s7p5d3f2g1h.
Er.ANO-RCC-VQZP                          Er.ANO-RCC...9s8p6d4f3g2h.
